"sheet","conditions","val","date","dpi","plate","note","A","B","norm","irregular"
"Rx59","Rx59 + SRE12",62.19723,"04.08.2026","4","3","","Rx59","SRE12",0.315031056719805,FALSE
"Rx59","Rx59 + SRE12",39.564424,"04.08.2026","4","3","","Rx59","SRE12",0.192493791005777,FALSE
"Rx59","Rx59 + SRE12",62.088391,"04.08.2026","4","3","","Rx59","SRE12",0.314441786725485,FALSE
"Rx59","Rx59 + SRE12",17.092128,"04.08.2026","4","3","","Rx59","SRE12",0.0708255495090638,FALSE
"Rx59","Rx59 + PTO",98.131706,"04.08.2026","4","3","","Rx59","PTO",0.509585476260463,FALSE
"Rx59","Rx59 + PTO",180.325418,"04.08.2026","4","3","","Rx59","PTO",0.954594050423394,FALSE
"Rx59","Rx59 + PTO",171.562225,"04.08.2026","4","3","","Rx59","PTO",0.907148863593961,FALSE
"Rx59","Rx59 + PTO",69.441073,"04.08.2026","4","3","","Rx59","PTO",0.354250264204802,FALSE
"Rx59","Rx59 + PTO",14.099384,"04.08.2026","4","3","","Rx59","PTO",0.0546224032115142,FALSE
"Rx60","Rx60 + SRE2",141.046174,"04.08.2026","4","3","","Rx60","SRE2",0.741930576036961,FALSE
"Rx60","Rx60 + SRE2",88.278584,"04.08.2026","4","3","","Rx60","SRE2",0.456239257120568,FALSE
"Rx60","Rx60 + SRE2",51.825638,"04.08.2026","4","3","","Rx60","SRE2",0.258877766456923,FALSE
"Rx60","Rx60 + SRE2",150.040237,"04.08.2026","4","3","","Rx60","SRE2",0.790625726239711,FALSE
"Rx60","Rx60 + SRE2",76.306069,"04.08.2026","4","3","","Rx60","SRE2",0.3914183395631,FALSE
"Rx60","Rx60 + AvrSr35",188.711961,"04.08.2026","4","3","","Rx60","AvrSr35",1,FALSE
"Rx60","Rx60 + AvrSr35",145.693712,"04.08.2026","4","3","","Rx60","AvrSr35",0.767093014968397,FALSE
"Rx60","Rx60 + AvrSr35",128.782982,"04.08.2026","4","3","","Rx60","AvrSr35",0.675535891409428,FALSE
"Rx60","Rx60 + AvrSr35",168.950967,"04.08.2026","4","3","","Rx60","AvrSr35",0.893011137348533,FALSE
"Rx60","Rx60 + AvrSr35",43.851803,"04.08.2026","4","3","","Rx60","AvrSr35",0.21570627732938,FALSE
"Rx60","Rx60 + SRE12",31.225154,"04.08.2026","4","3","","Rx60","SRE12",0.147343784247843,FALSE
"Rx60","Rx60 + SRE12",54.58861,"04.08.2026","4","3","","Rx60","SRE12",0.273836894111021,FALSE
"Rx60","Rx60 + SRE12",87.402155,"04.08.2026","4","3","","Rx60","SRE12",0.451494144506053,FALSE
"Rx60","Rx60 + SRE12",76.693712,"04.08.2026","4","3","","Rx60","SRE12",0.393517094498444,FALSE
"Rx60","Rx60 + SRE12",102.533641,"04.08.2026","4","3","","Rx60","SRE12",0.533418185238346,FALSE
"Rx60","Rx60 + PTO",12.638962,"04.08.2026","4","3","","Rx60","PTO",0.0467154685314479,FALSE
"Rx60","Rx60 + PTO",99.275506,"04.08.2026","4","3","","Rx60","PTO",0.515778173910224,FALSE
"Rx60","Rx60 + PTO",11.657432,"04.08.2026","4","3","","Rx60","PTO",0.041401323992044,FALSE
"Rx60","Rx60 + PTO",89.067942,"04.08.2026","4","3","","Rx60","PTO",0.460512954822457,FALSE
"Rx60","Rx60 + PTO",123.126869,"04.08.2026","4","3","","Rx60","PTO",0.644912882420195,FALSE
"Rx61","Rx61 + SRE2",140.342568,"13.08.2026","4","1","","Rx61","SRE2",1,FALSE
"Rx61","Rx61 + SRE2",70.260774,"13.08.2026","4","1","","Rx61","SRE2",0.498254811958979,FALSE
"Rx61","Rx61 + SRE2",45.755497,"13.08.2026","4","1","","Rx61","SRE2",0.322811175108554,FALSE
"Rx61","Rx61 + SRE2",52.080915,"13.08.2026","4","1","","Rx61","SRE2",0.36809751643492,FALSE
